Country,Product,Balance,Unit,Year,Month,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Apr,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,May,1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Jun,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Jul,1664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Aug,1713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Sep,1657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Oct,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Nov,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2005,Dec,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Jan,1719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Feb,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Mar,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Total oil products,Refinery Output,Thousand Barrels per day (kb/d),2006,Apr,1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
