Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Nov,1399
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2007,Dec,1422
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Jan,1442
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Feb,1393
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Mar,1513
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Apr,1561
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,May,1696
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Jun,1840
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Jul,1949
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Aug,1969
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Sep,1891
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Oct,1695
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Nov,1432
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2008,Dec,1382
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Jan,1213
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Feb,1323
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Mar,1289
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Apr,1360
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,May,1440
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Jun,1483
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Jul,1503
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Aug,1615
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Sep,1354
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Oct,1339
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Nov,1403
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2009,Dec,1299
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Jan,1357
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Feb,1336
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Mar,1356
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Apr,1408
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,May,1456
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Jun,1490
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Jul,1684
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Aug,1518
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Sep,1478
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Oct,1472
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Nov,1198
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2010,Dec,1465
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Demand,2011,Jan,1445
