Country ,Product,Unit,Balance,Year,Month,Value
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Jan,318
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Feb,533
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Mar,450
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Apr,302
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,May,273
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Jun,320
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Jul,257
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Aug,254
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Sep,328
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Oct,283
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Nov,448
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2008,Dec,574
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Jan,444
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Feb,456
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Mar,561
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Apr,467
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,May,400
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Jun,433
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Jul,335
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Aug,338
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Sep,469
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Oct,375
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Nov,338
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2009,Dec,310
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Jan,242
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Feb,372
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Mar,366
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Apr,398
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,May,348
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Jun,348
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Jul,362
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Aug,421
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Sep,436
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Oct,389
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Nov,312
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2010,Dec,400
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Jan,477
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Feb,725
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Mar,461
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Apr,533
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,May,525
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Jun,576
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Jul,729
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Aug,655
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Sep,723
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Oct,671
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Nov,725
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2011,Dec,743
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Jan,585
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Feb,665
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Mar,613
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Apr,635
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,May,693
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Jun,672
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Jul,612
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Aug,691
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Sep,648
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Oct,664
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Nov,656
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2012,Dec,666
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Jan,524
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Feb,653
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Mar,506
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Apr,488
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,May,462
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Jun,635
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Jul,675
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Aug,621
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Sep,587
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Oct,595
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Nov,568
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2013,Dec,883
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Jan,912
Saudi Arabia,Total oil products,Thousand Barrels per day (kb/d),Exports,2014,Feb,814
